"fcf","-0.008","-1.233","-2.639","-4.991","-9.689","-14.246","-2.888","-2.157","-2.931","-0.765","-2.386","-8.468","-11.756","0.956","2.821","-99.736","99.91800000000001","123.785","269.993"
"book_value","0.01","0.097","-1.605","0.011","-3.152","-2.518","-6.434","-5.906","-7.164","8.744","10.895","17.147","11.803","63.459","104.327","217.045","40.091","264.04","338.191"
"tangible_book_value","0.01","0.097","-1.605","0.011","-3.152","-2.518","-6.434","-5.906","-7.164","8.744","10.895","17.147","11.803","36.262","77.318","186.217","14.158","237.728","312.584"
"roa","","-26.93","-2.83","-2.22","-2.02","-3.98","-0.88","-0.7","-0.51","-0.21","-0.19","-0.37","-0.36","0.16","0.08","0.02","-0.24","0.16","0.18"
"roe","","-27.18","4.94","6.6","4.94","6.88","0.63","0.29","0.31","-2.72","-0.31","-0.59","-0.77","0.26","0.1","0.02","-0.35","0.23","0.25"
"roic","","-27.18","-1064.57","-8.23","-4.01","-19.64","-11.31","-1.31","-0.77","-0.26","-0.21","-0.46","-0.55","0.22","0.1","0.02","-0.35","0.23","0.25"
"roce","","-9.300000000000001","-239.05","-7.19","-3.67","-9.17","-2.05","-1.05","-0.58","-0.22","-0.2","-0.45","-0.53","-0.03","0.09","-0.03","-0.25","0.23","0.25"
"rotce","","-9.300000000000001","-239.05","-7.19","-3.67","-9.17","-2.05","-1.05","-0.58","-0.22","-0.2","-0.45","-0.53","-0.04","0.13","-0.03","-0.26","0.23","0.26"
"gross_margin","","1","1","0.29","0.48","0.13","0.3","0.38","0.38","0.41","0.43","0.43","0.4","0.42","0.47","0.41","0.41","0.48","0.5"
"ebitda_margin","","-0.38","-1.51","-1.89","-1.26","-2.26","-0.33","-0.13","-0.1","-0.1","-0.12","-0.22","-0.2","-0.01","0.07000000000000001","-0.01","-0.24","0.2","0.22"
"operating_margin","","-0.38","-1.53","-1.9","-1.27","-2.26","-0.33","-0.13","-0.1","-0.11","-0.12","-0.22","-0.2","-0.02","0.06","-0.01","-0.24","0.2","0.22"
"pretax_margin","","","","","-1.32","-2.35","-0.37","-0.17","-0.14","-0.12","-0.13","-0.23","-0.21","0.13","0.07000000000000001","-0.01","-0.23","0.22","0.24"
"net_income_margin","","-1.12","-2.27","-2.03","-1.32","-2.35","-0.37","-0.17","-0.14","-0.12","-0.13","-0.23","-0.21","0.13","0.07000000000000001","0.01","-0.29","0.17","0.19"
"fcf_margin","","-0.95","-1.6","-1.93","-1.65","-1.71","-0.38","-0.2","-0.2","-0.04","-0.1","-0.23","-0.22","0.01","0.02","-0.32","0.15","0.09","0.19"
"assets_to_equity","1","1.01","-1.58","200.27","-1.74","-1.71","-0.32","-0.51","-0.6899999999999999","1.75","1.63","1.58","2.93","1.42","1.26","1.45","1.41","1.41","1.42"
"equity_to_assets","1","0.99","-0.63","","-0.58","-0.58","-3.14","-1.95","-1.45","0.57","0.61","0.63","0.34","0.7","0.79","0.6899999999999999","0.71","0.71","0.71"
"debt_to_equity","","","-0.9399999999999999","123.45","-1.79","-0.79","-1.16","-1.29","-1.5","0.51","0.41","0.2","0.67","0.14","0.01","","","",""
"debt_to_assets","","","0.6","0.62","1.03","0.46","3.63","2.51","2.17","0.29","0.25","0.13","0.23","0.1","","","","",""
"revenue_per_share","","0.12","0.11","0.13","0.26","0.16","0.13","0.18","0.24","0.17","0.2","0.27","0.35","0.39","0.59","1.35","2.88","5.56","5.96"
"ebitda_per_share","-0.02","-0.05","-0.16","-0.25","-0.32","-0.36","-0.04","-0.02","-0.02","-0.02","-0.02","-0.06","-0.07000000000000001","","0.04","-0.01","-0.6899999999999999","1.14","1.3"
"operating_income_per_share","-0.02","-0.05","-0.17","-0.25","-0.33","-0.36","-0.04","-0.02","-0.03","-0.02","-0.02","-0.06","-0.07000000000000001","-0.01","0.04","-0.02","-0.7","1.12","1.28"
"pretax_income_per_share","","","","","-0.34","-0.37","-0.05","-0.03","-0.03","-0.02","-0.03","-0.06","-0.07000000000000001","0.05","0.04","-0.02","-0.67","1.23","1.41"
"fcf_per_share","-0.02","-0.11","-0.17","-0.26","-0.42","-0.27","-0.05","-0.04","-0.05","-0.01","-0.02","-0.06","-0.08","","0.01","-0.43","0.44","0.52","1.14"
"book_value_per_share","0.02","0.01","-0.11","","-0.14","-0.05","-0.11","-0.1","-0.12","0.09","0.09","0.13","0.08","0.33","0.47","0.93","0.18","1.11","1.42"
"tangible_book_per_share","0.02","0.01","-0.11","","-0.14","-0.05","-0.11","-0.1","-0.12","0.09","0.09","0.13","0.08","0.19","0.35","0.8","0.06","1","1.32"
"payout_ratio","","","","","","","","","","","","","","","","","","",""
